Category,Vulnerability,File,Line Number,Code Snippet
INJECTION,SQL Injection,create_db.py,63,"cursor.execute(f""SELECT 1 FROM pg_catalog.pg_database WHERE datname = '{DB_NAME}'"")"
INJECTION,SQL Injection,create_db.py,68,"cursor.execute(f""CREATE DATABASE {DB_NAME}"")"
CONFIGURATION,Dangerous CORS,main.py,134,"allow_origins=[""*""],  # In production, restrict to your specific web/mobile domains"
AUTHENTICATION,No Auth Router,alerts.py,17,"@router.post(""/test-notification"")"
AUTHENTICATION,No Auth Router,alerts.py,35,"@router.post(""/test-email"")"
AUTHENTICATION,No Auth Router,alerts.py,74,"@router.post(""/sos"")"
AUTHENTICATION,No Auth Router,alerts.py,113,"@router.post(""/"", response_model=AlertResponseNew, status_code=201)"
AUTHENTICATION,No Auth Router,alerts.py,153,"@router.get(""/list"", response_model=List[AlertResponseNew])"
AUTHENTICATION,No Auth Router,alerts.py,175,"@router.get(""/"", response_model=List[AlertResponseNew])"
AUTHENTICATION,No Auth Router,alerts.py,189,"@router.get(""/active/list"", response_model=List[AlertResponseNew])"
AUTHENTICATION,No Auth Router,alerts.py,199,"@router.get(""/{alert_id}"", response_model=AlertResponseNew)"
AUTHENTICATION,No Auth Router,alerts.py,212,"@router.patch(""/{alert_id}/resolve"", response_model=AlertResponseNew)"
AUTHENTICATION,No Auth Router,alerts.py,225,"@router.put(""/{alert_id}/resolve"", response_model=AlertResponseNew)"
AUTHENTICATION,No Auth Router,alerts.py,235,"@router.put(""/{alert_id}/delivery-status"")"
AUTHENTICATION,No Auth Router,alerts.py,252,"@router.delete(""/{alert_id}"")"
AUTHENTICATION,No Auth Router,alerts.py,277,"@router.get(""/{alert_id}/snapshot"")"
AUTHENTICATION,No Auth Router,alerts.py,293,"@router.get(""/{alert_id}/clip"")"
AUTHENTICATION,No Auth Router,alerts.py,309,"@router.get(""/camera/{camera_id}"", response_model=List[AlertResponseNew])"
AUTHENTICATION,No Auth Router,alerts.py,320,"@router.get(""/trends/{camera_id}"", response_model=List[MonthlyAlertTrend])"
AUTHENTICATION,No Auth Router,analytics.py,13,"@router.get(""/dashboard"")"
AUTHENTICATION,No Auth Router,audit_logs.py,13,"@router.get(""/"", response_model=List[AuditLogResponse])"
AUTHENTICATION,No Auth Router,auth.py,97,"@router.get(""/check-email"")"
AUTHENTICATION,No Auth Router,auth.py,103,"@router.post(""/send-verification-code"")"
AUTHENTICATION,No Auth Router,auth.py,115,"@router.post(""/verify-code"")"
AUTHENTICATION,No Auth Router,auth.py,128,"@router.post(""/signup"", response_model=UserResponse, status_code=201)"
AUTHENTICATION,No Auth Router,auth.py,151,"@router.post(""/register"", response_model=UserResponse, status_code=201)"
AUTHENTICATION,No Auth Router,auth.py,157,"@router.post(""/login"", response_model=TokenResponse)"
AUTHENTICATION,No Auth Router,auth.py,191,"@router.post(""/logout"")"
AUTHENTICATION,No Auth Router,auth.py,203,"@router.get(""/profile"", response_model=UserResponse)"
AUTHENTICATION,No Auth Router,auth.py,209,"@router.put(""/profile/{email}"", response_model=UserResponse)"
AUTHENTICATION,No Auth Router,auth.py,236,"@router.put(""/settings"", response_model=UserResponse)"
AUTHENTICATION,No Auth Router,auth.py,246,"@router.post(""/fcm-token"")"
AUTHENTICATION,No Auth Router,auth.py,267,"@router.post(""/reset-password"")"
AUTHENTICATION,No Auth Router,auth.py,283,"@router.post(""/change-password"")"
AUTHENTICATION,No Auth Router,cameras.py,25,"@router.post(""/upload"", response_model=CameraResponse, status_code=201)"
AUTHENTICATION,No Auth Router,cameras.py,69,"@router.post(""/{camera_id}/process"")"
AUTHENTICATION,No Auth Router,cameras.py,103,"@router.get(""/{camera_id}/progress"")"
AUTHENTICATION,No Auth Router,cameras.py,126,"@router.post(""/{camera_id}/retry"")"
AUTHENTICATION,No Auth Router,cameras.py,158,"@router.get(""/list"", response_model=List[CameraResponse])"
AUTHENTICATION,No Auth Router,cameras.py,170,"@router.get(""/"", response_model=List[CameraResponse])"
AUTHENTICATION,No Auth Router,cameras.py,182,"@router.get(""/{camera_id}"", response_model=CameraResponse)"
AUTHENTICATION,No Auth Router,cameras.py,195,"@router.delete(""/{camera_id}"", status_code=200)"
AUTHENTICATION,No Auth Router,cameras.py,255,"@router.get(""/{camera_id}/report"")"
AUTHENTICATION,No Auth Router,contacts.py,14,"@router.get(""/"", response_model=List[EmergencyContactResponse])"
AUTHENTICATION,No Auth Router,contacts.py,23,"@router.post(""/"", response_model=EmergencyContactResponse, status_code=201)"
AUTHENTICATION,No Auth Router,contacts.py,36,"@router.delete(""/{contact_id}"", status_code=200)"
AUTHENTICATION,No Auth Router,dashboard.py,13,"@router.get(""/stats"")"
AUTHENTICATION,No Auth Router,detections.py,25,"@router.post(""/"", response_model=DetectionResponse, status_code=201)"
AUTHENTICATION,No Auth Router,detections.py,58,"@router.get(""/"", response_model=List[DetectionResponse])"
AUTHENTICATION,No Auth Router,detections.py,82,"@router.get(""/{detection_id}"", response_model=DetectionResponse)"
AUTHENTICATION,No Auth Router,detections.py,97,"@router.post(""/mobile-frame"")"
AUTHENTICATION,No Auth Router,detections.py,147,"@router.post(""/mobile-video"")"
AUTHENTICATION,No Auth Router,devices.py,13,"@router.post(""/"", response_model=DeviceResponse, status_code=201)"
AUTHENTICATION,No Auth Router,devices.py,26,"@router.get(""/"", response_model=List[DeviceResponse])"
AUTHENTICATION,No Auth Router,devices.py,37,"@router.put(""/{device_id}/heartbeat"", response_model=DeviceResponse)"
AUTHENTICATION,No Auth Router,devices.py,51,"@router.delete(""/{device_id}"", status_code=200)"
AUTHENTICATION,No Auth Router,live_streams.py,13,"@router.post(""/"", response_model=LiveStreamResponse, status_code=201)"
AUTHENTICATION,No Auth Router,live_streams.py,26,"@router.get(""/active"", response_model=List[LiveStreamResponse])"
AUTHENTICATION,No Auth Router,live_streams.py,37,"@router.put(""/{stream_id}/end"", response_model=LiveStreamResponse)"
AUTHENTICATION,No Auth Router,privacy.py,14,"@router.post(""/zones"", response_model=PrivacyZone)"
AUTHENTICATION,No Auth Router,privacy.py,37,"@router.get(""/zones/{camera_id}"", response_model=List[PrivacyZone])"
